Alle Werte in ct/kWh;Jan 2025;Feb 2025;Mär 2025;Apr 2025;Mai 2025;Jun 2025;Jul 2025;Aug 2025;Sep 2025;Okt 2025;Nov 2025;Dez 2025
; ; ; ; ; ; ; ; ; ; ; ; 
Spotmarktpreis; 11,414; 12,852; 9,473; ; ; ; ; ; ; ; ; 
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind an Land; 8,506; 11,591; 7,513; ; ; ; ; ; ; ; ; 
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind auf See; 9,702; 11,741; 8,136; ; ; ; ; ; ; ; ; 
; ; ; ; ; ; ; ; ; ; ; ; 
MW Solar; 11,511; 11,099; 5,027; ; ; ; ; ; ; ; ; 
; ; ; ; ; ; ; ; ; ; ; ; 
MW; 11,414; 12,852; 9,473; ; ; ; ; ; ; ; ; 
; ; ; ; ; ; ; ; ; ; ; ; 
Negative Stunden (6H); Ja; Nein; Ja; ; ; ; ; ; ; ; ; 
Negative Stunden (4H); Ja; Nein; Ja; ; ; ; ; ; ; ; ; 
Negative Stunden (3H); Ja; Nein; Ja; ; ; ; ; ; ; ; ; 
Negative Stunden (1H); Ja; Nein; Ja; ; ; ; ; ; ; ; ; 
